"Figure 1. Average Drought Conditions in the Contiguous 48 States, 1895-2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2016",,
Web update: August 2016,,
Units: Palmer Drought Severity Index,,
,,
Year,Annual avg,9-yr avg
1895,-0.118333333,-0.072910156
1896,0.2225,-0.069573568
1897,-0.4525,-0.073688151
1898,0.101666667,-0.090869141
1899,0.02,-0.170442708
1900,-0.0475,-0.299860026
1901,-1.144166667,-0.312021484
1902,-0.840833333,-0.052233073
1903,1.705,0.448313802
1904,-0.031666667,1.118837891
1905,1.553333333,1.94703125
1906,3.608333333,2.731914063
1907,4.315,2.992864583
1908,3.363333333,2.369781901
1909,1.8175,1.105299479
1910,-2.465833333,0.015338542
1911,-2.398333333,-0.250182292
1912,2.6125,0.141246745
1913,0.485,0.613958333
1914,-0.27,0.921731771
1915,2.091666667,1.00789388
1916,2.3975,0.717148438
1917,-0.640833333,0.230485026
1918,-2.930833333,0.133235677
1919,1.7725,0.545517578
1920,3.469166667,0.868603516
1921,-0.545833333,0.71179362
1922,-0.47,0.321132813
1923,1.145833333,-0.019501953
1924,-0.386666667,-0.215520833
1925,-2.058333333,-0.04781901
1926,0.4175,0.602949219
1927,2.823333333,1.278453776
1928,2.774166667,1.247412109
1929,1.090833333,0.326383464
1930,-1.983333333,-0.8746875
1931,-4.178333333,-1.677200521
1932,0.075833333,-2.133723958
1933,-1.039166667,-2.70186849
1934,-6.6775,-3.320677083
1935,-3.103333333,-3.472363281
1936,-3.5325,-3.013336589
1937,-2.320833333,-2.384023438
1938,0.075,-2.025611979
1939,-2.88,-1.789163411
1940,-4.238333333,-1.126822917
1941,1.6675,0.003557943
1942,3.1875,0.931699219
1943,0.8775,1.249580078
1944,-0.154166667,1.313277995
1945,2.056666667,1.513795573
1946,2.371666667,1.72265625
1947,2.1375,1.690218099
1948,0.819166667,1.481119792
1949,1.244166667,1.269641927
1950,1.329166667,0.959876302
1951,1.683333333,0.247405599
1952,-0.9375,-0.960198568
1953,-2.883333333,-2.31061849
1954,-4.345,-3.19453776
1955,-4.465,-3.112779948
1956,-3.595,-2.042135417
1957,0.904166667,-0.608935547
1958,2.735833333,0.351982422
1959,-0.335,0.564983724
1960,0.010833333,0.344586589
1961,0.890833333,-0.047913411
1962,0.020833333,-0.539752604
1963,-2.929166667,-0.908300781
1964,-1.0625,-0.918522135
1965,0.708333333,-0.62742513
1966,-1.764166667,-0.162454427
1967,0.435,0.457880859
1968,1.795833333,1.066269531
1969,2.501666667,1.381298828
1970,0.7425,1.466894531
1971,0.603333333,1.745065104
1972,1.979166667,2.394775391
1973,4.8475,3.008681641
1974,3.474166667,2.991497396
1975,3.718333333,2.206471354
1976,-0.348333333,1.174261068
1977,-1.150833333,0.57289388
1978,0.919166667,0.525084635
1979,2.23,0.643850911
1980,-0.398333333,0.817822266
1981,-0.755,1.387460938
1982,3.3725,2.35296875
1983,5.010833333,3.05469401
1984,3.9475,2.931497396
1985,0.960833333,2.06860026
1986,2.135833333,0.86063151
1987,-0.57,-0.296126302
1988,-3.51,-0.94773763
1989,-0.851666667,-0.805817057
1990,0.030833333,-0.044977214
1991,1.150833333,0.931292318
1992,1.185,1.826897786
1993,4.37,2.455146484
1994,2.138333333,2.763297526
1995,2.795833333,2.879729818
1996,2.789166667,2.837281901
1997,4.295833333,2.349287109
1998,1.553333333,1.152057292
1999,-0.138333333,-0.476474609
2000,-4.435833333,-1.757936198
2001,-2.870833333,-2.050390625
2002,-2.058333333,-1.409501953
2003,0.583333333,-0.523841146
2004,1.3075,-0.120159505
2005,0.089166667,-0.350983073
2006,-2.215833333,-0.705572917
2007,-1.651666667,-0.576110026
2008,0.346666667,0.085670573
2009,1.250833333,0.692213542
2010,3.05,0.610465495
2011,-0.1575,-0.092431641
2012,-4.005833333,-0.629039714
2013,-0.224166667,-0.416432292
2014,1.231666667,0.280732422
2015,1.1675,0.862480469
