"Figure 2. Length of Growing Season in the Contiguous 48 States, 1895-2015: West Versus East",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Kunkel, 2016",,
Web update: August 2016,,
Units: days,,
,,
Year,Eastern United States deviation from average length of growing season,Western United States deviation from average length of growing season
1895,-1.125,-11.855
1896,-1.683636364,-11.58181818
1897,-1.617727273,-12.09045455
1898,-1.970909091,-12.73818182
1899,-2.053181818,-12.58772727
1900,-1.478181818,-12.21818182
1901,-1.227272727,-11.48363636
1902,-2.95,-10.95545455
1903,-3.478181818,-12.29636364
1904,-4.245454545,-11.92727273
1905,-4.447272727,-10.79636364
1906,-4.423636364,-12.22454545
1907,-3.838181818,-12.61545455
1908,-4.61,-12.35
1909,-4.157272727,-10.73727273
1910,-4.463636364,-10.49545455
1911,-5.682727273,-11.94909091
1912,-6.331818182,-12.63636364
1913,-5.027272727,-12.62090909
1914,-3.867272727,-11.70363636
1915,-3.577272727,-12.04727273
1916,-2.78,-12.56545455
1917,-1.96,-11.46090909
1918,-2.641818182,-10.33818182
1919,-2.224545455,-10.36272727
1920,-3.037272727,-9.906363636
1921,-3.338181818,-8.667272727
1922,-2.165454545,-6.867272727
1923,-1.319090909,-5.324545455
1924,-1.171818182,-5.790909091
1925,-2.162727273,-5.377272727
1926,-0.95,-4.048181818
1927,-1.360909091,-3.64
1928,-1.556363636,-3.506363636
1929,-0.938181818,-2.761818182
1930,-0.706363636,-2.109090909
1931,0.281818182,-2.121818182
1932,0.65,-1.894545455
1933,0.551818182,-1.371818182
1934,1.168181818,-1.042727273
1935,0.497272727,1.930909091
1936,1.620909091,3.267272727
1937,0.349090909,2.869090909
1938,-0.252727273,3.237272727
1939,-1.005454545,3.983636364
1940,-0.952727273,2.018181818
1941,-0.065454545,2.126363636
1942,-0.578181818,2.190909091
1943,0.57,0.901818182
1944,0.44,0.354545455
1945,0.214545455,-0.799090909
1946,0.522727273,-3.159090909
1947,-0.607272727,-4.022727273
1948,-0.124545455,-4.330909091
1949,0.308181818,-4.688181818
1950,0.382727273,-5.747272727
1951,-0.1,-4.662727273
1952,-1.018181818,-3.513636364
1953,-0.560909091,-3.180909091
1954,-1.400909091,-2.573636364
1955,-1.607272727,-2.439090909
1956,-1.677272727,-1.420909091
1957,-1.346363636,-0.707272727
1958,-1.313636364,0.806363636
1959,-1.845454545,0.390909091
1960,-1.640909091,0.387272727
1961,-3.075454545,1.247272727
1962,-2.976363636,1.854545455
1963,-3.115454545,1.03
1964,-3.329090909,0.278181818
1965,-3.169090909,-0.255454545
1966,-2.842727273,-1.099090909
1967,-2.509090909,-1.413636364
1968,-2.197272727,-1.449090909
1969,-2.999090909,-2.957272727
1970,-2.428181818,-2.554545455
1971,-3.082727273,-2.49
1972,-1.519090909,-2.043636364
1973,-0.845454545,-2.57
1974,-0.753636364,-1.363636364
1975,-1.014545455,-0.45
1976,-1.212727273,0.806363636
1977,-1.564545455,2.07
1978,-2.284545455,2.576363636
1979,-2.730909091,2.95
1980,-0.686363636,2.274545455
1981,-0.479090909,3.56
1982,0.41,5.142727273
1983,-0.020909091,5.908181818
1984,-1.367272727,6.806363636
1985,-0.597272727,6.816363636
1986,0.067272727,6.596363636
1987,0.154545455,6.728181818
1988,-0.272727273,7.453636364
1989,1.642727273,8.43
1990,1.936363636,8.606363636
1991,0.829090909,10.07363636
1992,0.761818182,11.05636364
1993,2.699090909,11.24
1994,3.639090909,10.07090909
1995,4.891818182,9.996363636
1996,4.866363636,10.06454545
1997,4.749090909,9.904545455
1998,5.503636364,9.774545455
1999,6.952727273,10.63
2000,6.624545455,10.97181818
2001,6.835454545,11.28363636
2002,8.005454545,11.23818182
2003,8.043636364,9.950909091
2004,6.864545455,9.474545455
2005,7.110909091,10.21272727
2006,7.833636364,9.988181818
2007,8.730909091,10.10545455
2008,8.63,10.61272727
2009,8.27,11.59272727
2010,8.609090909,12.56727273
2011,8.664242424,12.21151515
2012,9.10030303,12.73575758
2013,8.868181818,13.30181818
2014,9.383333333,14.19606061
2015,9.446666667,14.76666667
