Example: Examining Heat-Related Deaths During the 1995 Chicago Heat Wave,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climatechange/indicators,,,,,
"Data source: CDC, 2012; NOAA, 2012",,,,,
Web update: May 2014,,,,,
Units: deaths; °F,,,,,
,,,,,
Month,Day,Year,"Daily deaths, 1995","Average daily deaths, 1990-2000","Daily high temperature, 1995 (°F)"
6,1,1995,164,160.9090909,80.06
6,2,1995,173,168.1818182,75.92
6,3,1995,160,162,75.02
6,4,1995,188,161.0909091,78.98
6,5,1995,190,165.5454545,80.06
6,6,1995,189,163.6363636,87.98
6,7,1995,189,166.0909091,91.94
6,8,1995,133,168,57.92
6,9,1995,163,165,69.08
6,10,1995,157,163.7272727,82.94
6,11,1995,178,165.7272727,66.92
6,12,1995,161,164.9090909,73.04
6,13,1995,177,166.5454545,84.92
6,14,1995,173,160,89.96
6,15,1995,161,159.3636364,89.06
6,16,1995,191,163.4545455,89.06
6,17,1995,159,158.8181818,89.96
6,18,1995,187,169.6363636,93.02
6,19,1995,177,167.8181818,93.92
6,20,1995,180,164.4545455,95
6,21,1995,181,166.3636364,86
6,22,1995,177,161.1818182,93.02
6,23,1995,168,162.5454545,91.04
6,24,1995,166,167.5454545,93.92
6,25,1995,158,165.1818182,87.98
6,26,1995,151,159,84.02
6,27,1995,160,163,80.06
6,28,1995,165,156.7272727,82.04
6,29,1995,159,162.4545455,87.08
6,30,1995,156,159.8181818,82.04
7,1,1995,162,161.2727273,75.92
7,2,1995,173,157.7272727,77
7,3,1995,169,164,82.04
7,4,1995,153,155.3636364,84.02
7,5,1995,171,165.8181818,84.92
7,6,1995,152,159.8181818,78.08
7,7,1995,157,162.9090909,78.98
7,8,1995,170,163,84.02
7,9,1995,150,159,84.02
7,10,1995,186,154.4545455,87.08
7,11,1995,192,159.8181818,89.06
7,12,1995,160,160.9090909,96.98
7,13,1995,178,161.6363636,104
7,14,1995,303,169.7272727,100.04
7,15,1995,499,186.0909091,98.06
7,16,1995,366,178,93.02
7,17,1995,305,180.8181818,87.08
7,18,1995,221,163.8181818,86
7,19,1995,191,161,89.06
7,20,1995,174,160.3636364,78.98
7,21,1995,149,153.0909091,84.92
7,22,1995,149,151.1818182,84.92
7,23,1995,163,159.7272727,87.08
7,24,1995,172,168.0909091,89.06
7,25,1995,171,161.7272727,91.94
7,26,1995,153,158,87.08
7,27,1995,175,166.2727273,89.96
7,28,1995,148,157.2727273,89.06
7,29,1995,177,164.3636364,95
7,30,1995,153,161.3636364,96.08
7,31,1995,184,163.5454545,95
8,1,1995,142,164.3636364,80.96
8,2,1995,129,159.9090909,78.98
8,3,1995,157,159,78.08
8,4,1995,142,156.1818182,84.92
8,5,1995,147,153.5454545,87.08
8,6,1995,142,155.8181818,87.98
8,7,1995,154,160.7272727,86
8,8,1995,172,160.2727273,87.98
8,9,1995,159,156.9090909,80.06
8,10,1995,179,165.4545455,89.06
8,11,1995,160,163.9090909,93.02
8,12,1995,166,164.2727273,98.06
8,13,1995,189,162.3636364,96.08
8,14,1995,190,158.3636364,95
8,15,1995,194,163.4545455,87.08
8,16,1995,155,157.9090909,93.92
8,17,1995,167,163.4545455,93.02
8,18,1995,170,160.1818182,89.96
8,19,1995,148,158.2727273,89.06
8,20,1995,141,153.4545455,82.94
8,21,1995,131,161.2727273,89.06
8,22,1995,165,164.8181818,82.94
8,23,1995,180,159.8181818,87.98
8,24,1995,164,163.7272727,82.04
8,25,1995,155,160.2727273,89.96
8,26,1995,171,160.9090909,91.04
8,27,1995,189,162.3636364,87.98
8,28,1995,140,162.2727273,82.04
8,29,1995,152,148.9090909,87.98
8,30,1995,171,165.4545455,91.94
8,31,1995,172,158.3636364,87.08
